page,type_annonce,nombre_pieces,prix,adresse,image_lien
1,Location,,1 750 000,Sénégal,https://images.coinafrique.com/thumb_5392591_uploaded_image1_1750896617.jpg
1,Vente,,45 599 500,,https://images.coinafrique.com/thumb_5415772_uploaded_image1_1752107112.jpg
1,Vente,,499 500 000,,https://images.coinafrique.com/thumb_5392519_uploaded_image1_1750892828.jpg
1,Vente,6,200 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5381339_uploaded_image1_1750286143.jpg
1,Location,,3 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5425437_uploaded_image1_1752626360.jpg
1,Vente,,199 500 000,,https://images.coinafrique.com/thumb_5392498_uploaded_image1_1750891913.jpg
1,Location,,2 300 000,Sénégal,https://images.coinafrique.com/thumb_5425424_uploaded_image1_1752625577.jpg
1,Vente,,64 959 499,,https://images.coinafrique.com/thumb_5415726_uploaded_image1_1752104150.jpg
1,Location,,3 500 000,Sénégal,https://images.coinafrique.com/thumb_5425260_uploaded_image1_1752618760.jpg
1,Location,6,800 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399428_uploaded_image1_1751317853.jpg
1,Location,,1 300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5411887_uploaded_image1_1751924116.jpg
1,Location,,2 300 000,Sénégal,https://images.coinafrique.com/thumb_5417488_uploaded_image1_1752181966.jpg
1,Vente,4,55 000 000,,https://images.coinafrique.com/thumb_5428727_uploaded_image1_1752785834.jpg
1,Vente,,35 000 000,,https://images.coinafrique.com/thumb_5408749_uploaded_image1_1751740242.jpg
1,Vente,,40 000 000,,https://images.coinafrique.com/thumb_5408746_uploaded_image1_1751740097.jpg
1,Location,,50 000,Sénégal,https://images.coinafrique.com/thumb_5428624_uploaded_image1_1752777984.jpg
1,Vente,,725 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5418933_uploaded_image1_1752257088.jpg
1,Location,,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428555_uploaded_image1_1752775637.jpg
1,Location,7,3 500 000,Sénégal,https://images.coinafrique.com/thumb_5390091_uploaded_image1_1750781162.jpg
1,Location,5,2 000 000,,https://images.coinafrique.com/thumb_5428370_uploaded_image1_1752769459.jpg
1,Vente,6,400 000 000,Sénégal,https://images.coinafrique.com/thumb_5416980_uploaded_image1_1752161669.jpg
1,Location,6,2 700 000,Sénégal,https://images.coinafrique.com/thumb_5422875_uploaded_image1_1752507467.jpg
1,Vente,2,175 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394939_uploaded_image1_1751032225.jpg
1,Location,6,800 000,Sénégal,https://images.coinafrique.com/thumb_5416915_uploaded_image1_1752159236.jpg
1,Location,5,750 000,Sénégal,https://images.coinafrique.com/thumb_5393304_uploaded_image1_1750943044.jpg
1,Vente,,50 000 000,Sénégal,https://images.coinafrique.com/thumb_5402455_uploaded_image1_1751462038.jpg
1,Vente,,38 000 000,,https://images.coinafrique.com/thumb_5402427_uploaded_image1_1751461311.jpg
1,Location,,1 300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5428063_uploaded_image1_1752757043.jpg
1,Location,6,225 000 000,Sénégal,https://images.coinafrique.com/thumb_5385206_uploaded_image1_1750502673.jpg
1,Location,8,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5381898_uploaded_image1_1750329558.jpg
1,Location,6,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5385220_uploaded_image1_1750503037.jpg
1,Location,06,3 500 000,Sénégal,https://images.coinafrique.com/thumb_5428051_uploaded_image1_1752756249.jpg
1,Location,1,90 000 000,,https://images.coinafrique.com/thumb_5427960_uploaded_image1_1752753947.jpg
1,Location,1,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5424086_uploaded_image1_1752578586.jpg
1,Location,,150 000,Sénégal,https://images.coinafrique.com/thumb_5425920_uploaded_image1_1752662814.jpg
1,Vente,,50 000 000,Sénégal,https://images.coinafrique.com/thumb_5401632_uploaded_image1_1751413212.jpg
1,Vente,,950 000 000,Sénégal,https://images.coinafrique.com/thumb_5396779_uploaded_image1_1751147489.jpg
1,Location,,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5419125_uploaded_image1_1752268470.jpg
1,Vente,,Prix sur demande,,https://images.coinafrique.com/thumb_5417359_uploaded_image1_1752176755.jpg
1,Location,,250 000,Sénégal,https://images.coinafrique.com/thumb_5417248_uploaded_image1_1752172122.jpg
1,Vente,5,245 000 000,Sénégal,https://images.coinafrique.com/thumb_5426736_uploaded_image1_1752688509.jpg
1,Location,1,2 500 000,Sénégal,https://images.coinafrique.com/thumb_5382500_uploaded_image1_1750350788.jpg
1,Vente,2,85 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5397546_uploaded_image1_1751222596.jpg
1,Vente,,150 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5386043_uploaded_image1_1750544649.jpg
1,Vente,5,150 000 000,,https://images.coinafrique.com/thumb_5426447_uploaded_image1_1752679063.jpg
1,Vente,5,44 000 000,Sénégal,https://images.coinafrique.com/thumb_5426370_uploaded_image1_1752676375.jpg
1,Vente,1,57 000 000,Sénégal,https://images.coinafrique.com/thumb_5411113_uploaded_image1_1751893275.jpg
1,Location,08,2 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5411028_uploaded_image1_1751890288.jpg
1,Vente,,37 000 000,Sénégal,https://images.coinafrique.com/thumb_5410992_uploaded_image1_1751889003.jpg
1,Vente,,55 000 000,Sénégal,https://images.coinafrique.com/thumb_5410962_uploaded_image1_1751888357.jpg
1,Vente,,111,,https://images.coinafrique.com/thumb_5426013_uploaded_image1_1752664914.jpg
1,Location,,250 000,Sénégal,https://images.coinafrique.com/thumb_5416279_uploaded_image1_1752141121.7.jpeg
1,Location,6,2 500 000,Sénégal,https://images.coinafrique.com/thumb_5410656_uploaded_image1_1751878235.jpg
1,Location,7,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5410636_uploaded_image1_1751877758.jpg
1,Location,,1 200 000,,https://images.coinafrique.com/thumb_5415838_uploaded_image1_1752111243.jpg
1,Location,,Prix sur demande,,https://images.coinafrique.com/thumb_5410017_uploaded_image1_1751833099.jpg
1,Vente,,120 000 000,,https://images.coinafrique.com/thumb_5399330_uploaded_image1_1751313321.jpg
1,Location,3,400 000,,https://images.coinafrique.com/thumb_5424763_uploaded_image1_1752599539.jpg
1,Location,,375 000,,https://images.coinafrique.com/thumb_5424674_uploaded_image1_1752596143.jpg
1,Location,7,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5420164_uploaded_image1_1752334099.jpg
1,Vente,,220 000 000,Sénégal,https://images.coinafrique.com/thumb_5404600_uploaded_image1_1751551971.jpg
1,Vente,650,480 000 000,Sénégal,https://images.coinafrique.com/thumb_5385427_uploaded_image1_1750512279.jpg
1,Vente,,150 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5404533_uploaded_image1_1751550247.jpg
1,Vente,,160 000 000,Sénégal,https://images.coinafrique.com/thumb_5404504_uploaded_image1_1751549562.jpg
1,Location,9,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5424286_uploaded_image2_1752585313.jpeg
1,Vente,,225 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5394768_uploaded_image1_1751026898.jpg
1,Location,7,600 000,Sénégal,https://images.coinafrique.com/thumb_5416608_uploaded_image1_1752150253.jpg
1,Location,8,2 500 000,Sénégal,https://images.coinafrique.com/thumb_5424211_uploaded_image1_1752582121.jpg
1,Location,1,400 000,Sénégal,https://images.coinafrique.com/thumb_5389668_uploaded_image1_1750763013.jpg
1,Vente,8,145 000 000,Sénégal,https://images.coinafrique.com/thumb_5424063_uploaded_image1_1752577972.jpg
1,Location,5,220 000,Sénégal,https://images.coinafrique.com/thumb_5424042_uploaded_image1_1752576690.jpg
1,Vente,,50 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5423179_uploaded_image1_1752520171.jpg
1,Location,6,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5423109_uploaded_image1_1752516257.jpg
1,Location,1,1 700 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5378926_uploaded_image1_1750170578.jpg
1,Location,5,300 000,Sénégal,https://images.coinafrique.com/thumb_5422575_uploaded_image1_1752497002.22.jpeg
1,Vente,3,155 000 000,,https://images.coinafrique.com/thumb_5422449_uploaded_image1_1752492131.jpg
1,Location,5,500 000,,https://images.coinafrique.com/thumb_5422440_uploaded_image1_1752491761.jpg
1,Vente,,400 000 000,,https://images.coinafrique.com/thumb_5374958_uploaded_image1_1749936695.jpg
1,Vente,7,13 000,,https://images.coinafrique.com/thumb_5421256_uploaded_image1_1752418839.jpg
1,Vente,,120 000 000,,https://images.coinafrique.com/thumb_5420520_uploaded_image1_1752359463.jpg
1,Location,8,700 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5420408_uploaded_image1_1752350551.jpg
1,Vente,6,250 000 000,,https://images.coinafrique.com/thumb_5384213_uploaded_image1_1750436252.jpg
1,Vente,,140 000 000,,https://images.coinafrique.com/thumb_5384208_uploaded_image1_1750436076.jpg
1,Vente,,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5420034_uploaded_image1_1752326051.jpg
2,Location,,150 000,Sénégal,https://images.coinafrique.com/thumb_5420027_uploaded_image1_1752325795.jpg
2,Vente,,189 000 000,,https://images.coinafrique.com/thumb_5419968_uploaded_image1_1752323656.jpg
2,Vente,,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5419222_uploaded_image1_1752276819.jpg
2,Vente,,120 000 000,,https://images.coinafrique.com/thumb_5375007_uploaded_image1_1749939323.jpg
2,Vente,,500 000 000,Sénégal,https://images.coinafrique.com/thumb_5374819_uploaded_image1_1749931187.jpg
2,Location,,3 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5384472_uploaded_image1_1750444578.jpg
2,Vente,10,Prix sur demande,,https://images.coinafrique.com/thumb_5418406_uploaded_image1_1752236694.jpg
2,Location,5,800 000,,https://images.coinafrique.com/thumb_5417957_uploaded_image1_1752219838.jpg
2,Vente,,Prix sur demande,Sénégal,https://images.coinafrique.com/thumb_5373316_uploaded_image1_1749841268.jpg
2,Location,1,3 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5373182_uploaded_image1_1749834036.jpg
2,Location,6,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5369767_uploaded_image1_1749654190.jpg
2,Location,,1 000 000,Sénégal,https://images.coinafrique.com/thumb_5406955_uploaded_image1_1751648381.jpg
2,Vente,3,140 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5369689_uploaded_image1_1749652181.jpg
2,Location,2,1 100 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5396016_uploaded_image1_1751106995.jpg
2,Location,,2 300 000,Sénégal,https://images.coinafrique.com/thumb_5416213_uploaded_image1_1752139384.03.jpeg
2,Location,,900 000,Sénégal,https://images.coinafrique.com/thumb_5381262_uploaded_image1_1750282478.jpg
2,Vente,,100 000 000,,https://images.coinafrique.com/thumb_5415148_uploaded_image1_1752079306.jpg
2,Location,5,250 000,Sénégal,https://images.coinafrique.com/thumb_5415112_uploaded_image1_1752078365.jpg
2,Vente,,184 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371386_uploaded_image1_1749739406.jpg
2,Vente,4,48 000 000,,https://images.coinafrique.com/thumb_5374403_uploaded_image1_1749912966.jpg
2,Location,6,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5371333_uploaded_image1_1749736912.jpg
2,Location,5,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5371272_uploaded_image1_1749734240.jpg
2,Vente,8,100 000 000,Sénégal,https://images.coinafrique.com/thumb_5413392_uploaded_image1_1751999244.jpg
2,Location,8,3 000 000,Sénégal,https://images.coinafrique.com/thumb_5366416_uploaded_image1_1749472997.jpg
2,Vente,,70 000 000,Sénégal,https://images.coinafrique.com/thumb_5412003_uploaded_image1_1751929686.jpg
2,Vente,,200 000,,https://images.coinafrique.com/thumb_5411908_uploaded_image1_1751925114.jpg
2,Vente,,260 000 000,,https://images.coinafrique.com/thumb_5368434_uploaded_image1_1749579225.jpg
2,Vente,1,95 000 000,Sénégal,https://images.coinafrique.com/thumb_5410868_uploaded_image1_1751885280.jpg
2,Vente,2,65 000 000,,https://images.coinafrique.com/thumb_5410461_uploaded_image1_1751864559.jpg
2,Location,4,150 000,Sénégal,https://images.coinafrique.com/thumb_5410289_uploaded_image1_1751843661.jpg
2,Location,5,800 000,Sénégal,https://images.coinafrique.com/thumb_5410000_uploaded_image1_1751832438.jpg
2,Vente,,100 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5409481_uploaded_image1_1751805692.jpg
2,Location,7,1 800 000,Sénégal,https://images.coinafrique.com/thumb_5408737_uploaded_image1_1751738985.jpg
2,Vente,3,46 000 000,,https://images.coinafrique.com/thumb_5367979_uploaded_image1_1749561328.jpg
2,Vente,10,650 000 000,,https://images.coinafrique.com/thumb_5406962_uploaded_image1_1751648769.jpg
2,Location,5,1 500 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361692_uploaded_image1_1749120314.jpg
2,Vente,7,350 000 000,Sénégal,https://images.coinafrique.com/thumb_5406160_uploaded_image1_1751622543.jpg
2,Location,7,4 000 000,Sénégal,https://images.coinafrique.com/thumb_5360216_uploaded_image1_1749044206.jpg
2,Vente,10,75 000 000,,https://images.coinafrique.com/thumb_5404498_uploaded_image1_1751549390.jpg
2,Location,7,1 700 000,Sénégal,https://images.coinafrique.com/thumb_5364666_uploaded_image1_1749335251.53.jpeg
2,Location,4,50 000 000,Sénégal,https://images.coinafrique.com/thumb_5403295_uploaded_image1_1751493804.jpg
2,Vente,6,500 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5402986_uploaded_image1_1751480871.jpg
2,Vente,4,80 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5358394_uploaded_image1_1748952844.jpg
2,Vente,4,130 000 000,,https://images.coinafrique.com/thumb_5402551_uploaded_image1_1751464599.jpg
2,Vente,3,95 000 000,,https://images.coinafrique.com/thumb_5402536_uploaded_image1_1751464324.jpg
2,Location,5,1 500 000,Sénégal,https://images.coinafrique.com/thumb_5361813_uploaded_image1_1749125848.jpg
2,Location,8,1 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5361801_uploaded_image1_1749125296.jpg
2,Vente,4,55 000 000,,https://images.coinafrique.com/thumb_5402193_uploaded_image1_1751452199.jpg
2,Vente,,95 000 000,,https://images.coinafrique.com/thumb_5401949_uploaded_image1_1751443819.jpg
2,Vente,4,42 000 000,,https://images.coinafrique.com/thumb_5394220_uploaded_image1_1750995785.jpg
2,Vente,,135 000 000,Sénégal,https://images.coinafrique.com/thumb_5401754_uploaded_image1_1751425511.jpg
2,Location,4,50 000,,https://images.coinafrique.com/thumb_5401305_uploaded_image1_1751400309.jpg
2,Vente,5,80 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5400660_uploaded_image1_1751378690.jpg
2,Vente,,160 000 000,,https://images.coinafrique.com/thumb_5400622_uploaded_image1_1751378110.jpg
2,Location,7,2 000 000,Sénégal,https://images.coinafrique.com/thumb_5399439_uploaded_image1_1751318153.jpg
2,Vente,8,500 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5399176_uploaded_image1_1751307533.jpg
2,Vente,,270 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5398364_uploaded_image1_1751277822.jpg
2,Vente,5,30 000 000,,https://images.coinafrique.com/thumb_5397887_uploaded_image2_1751241424.jpeg
2,Location,,700 000,Sénégal,https://images.coinafrique.com/thumb_5356543_uploaded_image1_1748873067.jpg
2,Vente,4,65 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5396839_uploaded_image1_1751150171.jpg
2,Vente,6,60 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5396800_uploaded_image1_1751148814.jpg
2,Vente,,45 000 000,,https://images.coinafrique.com/thumb_5359205_uploaded_image2_1748985502.jpeg
2,Vente,,33 000 000,,https://images.coinafrique.com/thumb_5359168_uploaded_image1_1748984039.jpg
2,Vente,,50 000 000,,https://images.coinafrique.com/thumb_5365563_uploaded_image1_1749410528.jpg
2,Location,2,1 400 000,Sénégal,https://images.coinafrique.com/thumb_5352470_uploaded_image1_1748620614.jpg
2,Vente,,200 000 000,Sénégal,https://images.coinafrique.com/thumb_5357377_uploaded_image1_1748903318.jpg
2,Vente,,45 000 000,,https://images.coinafrique.com/thumb_5395754_uploaded_image1_1751089001.jpg
2,Vente,10,115 000 000,Sénégal,https://images.coinafrique.com/thumb_5395000_uploaded_image2_1751035147.jpeg
2,Vente,5,45 000 000,,https://images.coinafrique.com/thumb_5394981_uploaded_image1_1751034108.jpg
2,Location,5,750 000,Sénégal,https://images.coinafrique.com/thumb_5392512_uploaded_image1_1750892508.jpg
2,Location,4,750 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5391806_uploaded_image1_1750859564.jpg
2,Vente,,190 000 000,,https://images.coinafrique.com/thumb_5363490_uploaded_image1_1749245160.jpg
2,Location,,900 000,Sénégal,https://images.coinafrique.com/thumb_5349964_uploaded_image1_1748456031.jpg
2,Location,,2 750 000,Sénégal,https://images.coinafrique.com/thumb_5385646_uploaded_image1_1750522848.jpg
2,Location,1,1 800 000,Sénégal,https://images.coinafrique.com/thumb_5389931_uploaded_image1_1750773649.jpg
2,Vente,5,130 000 000,,https://images.coinafrique.com/thumb_5389897_uploaded_image1_1750772036.jpg
2,Vente,,180 000 000,,https://images.coinafrique.com/thumb_5389886_uploaded_image1_1750771202.jpg
2,Vente,2,260 000 000,Sénégal,https://images.coinafrique.com/thumb_5348505_uploaded_image1_1748378119.jpg
2,Vente,,100 000 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5351273_uploaded_image1_1748543340.jpg
2,Vente,7,210 000 000,,https://images.coinafrique.com/thumb_5388679_uploaded_image1_1750700546.jpg
2,Vente,5,Prix sur demande,,https://images.coinafrique.com/thumb_5388606_uploaded_image1_1750697469.jpg
2,Location,5,30 000,,https://images.coinafrique.com/thumb_5387338_uploaded_image1_1750635001.jpg
2,Location,2,2 000 000,Sénégal,https://images.coinafrique.com/thumb_5346697_uploaded_image1_1748280084.jpg
2,Vente,7,70 000 000,,https://images.coinafrique.com/thumb_5386618_uploaded_image1_1750599557.jpg
